@relation deltaDiffOrientation

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute x51 numeric
@attribute y51 numeric
@attribute x52 numeric
@attribute y52 numeric
@attribute x53 numeric
@attribute y53 numeric
@attribute x54 numeric
@attribute y54 numeric
@attribute x55 numeric
@attribute y55 numeric
@attribute x56 numeric
@attribute y56 numeric
@attribute x57 numeric
@attribute y57 numeric
@attribute x58 numeric
@attribute y58 numeric
@attribute x59 numeric
@attribute y59 numeric
@attribute x60 numeric
@attribute y60 numeric
@attribute result {half-circle, line, sine}


@data
0,0,9,6,2,2,1,1,2,0,1,3,4,5,6,9,6,3,3,5,7,10,4,8,4,6,2,7,5,14,1,4,2,4,13,7,6,5,12,7,13,1,19,6,8,6,20,6,5,4,1,20,8,9,133,22,1,4,204,9,5,3,10,2,5,1,14,1,17,4,8,5,13,2,11,5,9,3,5,1,16,3,10,4,10,2,13,3,12,2,23,1,12,3,13,3,12,8,15,7,11,14,6,8,5,8,5,9,7,14,5,9,6,20,4,11,11,6,8,11,half-circle
0,0,30,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,1,24,113,23,113,1,3,1,0,1,4,2,4,3,0,5,10,5,5,2,5,2,3,5,4,1,4,4,7,0,2,4,6,1,4,9,3,0,4,5,4,5,4,6,5,3,2,7,2,5,1,2,5,10,2,8,2,5,6,5,3,3,4,4,2,7,3,7,1,5,1,7,0,4,1,9,1,10,1,3,1,8,0,9,1,9,1,4,0,6,0,2,1,5,2,9,2,6,2,half-circle
0,0,3,7,3,2,2,8,7,7,2,7,1,3,4,6,5,4,3,6,3,3,6,8,4,6,2,3,5,4,5,5,3,6,7,9,4,6,7,2,7,7,4,5,5,5,6,2,6,5,9,5,7,4,7,1,7,4,9,1,5,3,9,2,9,1,9,3,11,0,7,3,10,2,9,4,8,0,9,0,3,1,10,2,3,2,9,1,10,2,6,2,10,2,6,4,9,0,9,5,6,3,6,4,7,3,4,4,4,2,4,6,12,8,6,6,10,10,5,3,half-circle
0,0,1,0,1,18,1,7,1,8,3,8,4,10,4,10,4,13,4,11,4,6,5,5,19,13,4,7,3,16,4,10,4,2,4,9,7,6,9,1,7,14,10,3,5,11,19,9,9,10,4,2,18,2,4,3,7,1,8,5,13,2,15,0,20,4,1,0,19,1,13,4,7,4,10,2,15,0,6,3,9,2,10,4,5,3,8,3,8,2,5,2,7,4,8,4,8,4,6,4,2,2,5,5,4,4,5,4,17,16,21,29,13,50,1,12,1,4,2,10,half-circle
0,0,1,13,1,7,2,6,1,7,7,15,4,11,2,7,1,8,1,10,5,15,5,9,3,10,3,8,9,17,7,7,4,8,7,10,6,13,8,9,6,6,11,12,6,9,6,7,11,6,5,8,8,2,10,3,6,3,12,2,3,0,7,1,5,1,8,1,11,3,12,2,12,2,6,3,17,5,12,3,12,3,10,2,8,3,7,3,10,8,4,5,10,3,2,8,10,16,6,8,5,7,6,4,2,12,12,13,2,9,7,13,6,8,2,4,17,5,49,42,half-circle
0,0,19,61,4,9,9,21,4,9,4,11,5,12,3,8,3,9,6,21,3,11,2,13,8,15,6,10,6,8,3,5,6,10,4,14,6,3,8,4,2,4,4,4,6,0,10,7,15,1,11,3,20,2,18,4,7,7,252,245,203,240,8,1,6,3,5,1,4,3,5,9,4,2,3,3,7,2,9,0,7,3,6,11,6,8,8,4,11,3,6,8,9,4,5,9,10,8,4,8,7,2,9,14,2,5,10,7,2,5,4,8,51,66,5,30,3,16,4,1,half-circle
0,0,3,11,3,7,3,10,4,7,2,12,3,10,1,5,4,14,3,9,4,8,2,6,6,4,5,11,9,10,4,8,4,9,10,6,15,8,8,7,14,12,10,3,15,7,15,1,12,7,2,70,13,69,9,2,9,2,7,7,5,3,6,1,19,0,18,2,16,2,11,5,12,11,8,7,6,4,15,8,7,3,20,10,7,8,12,11,7,9,8,12,10,5,5,11,1,9,5,7,1,9,2,9,5,11,1,12,3,8,3,5,5,2,0,32,6,31,2,9,half-circle
0,0,2,12,1,3,2,2,1,3,3,3,1,2,1,3,3,3,1,3,1,5,1,6,3,1,5,6,4,5,1,6,3,4,5,2,9,6,4,2,2,2,8,2,2,1,12,6,4,0,7,2,8,2,2,3,11,9,5,3,4,4,4,2,4,3,4,5,4,6,4,0,4,7,1,0,2,4,1,2,1,1,1,3,2,0,1,3,2,3,2,4,1,1,1,5,2,3,1,4,3,3,1,5,3,2,1,2,2,2,2,5,4,3,1,3,2,2,2,3,half-circle
0,0,7,4,8,2,31,8,1,10,27,11,29,7,3,7,12,25,35,17,25,27,8,1,9,43,2,1,11,11,1,4,25,26,39,10,15,10,14,41,2,2,25,19,3,7,46,20,41,27,30,3,7,43,6,13,4,7,17,13,5,2,4,2,1,5,2,9,1,19,4,6,1,3,4,2,6,9,2,1,2,1,7,4,2,3,5,1,2,0,8,4,6,1,6,3,8,1,7,2,6,2,6,0,10,2,5,3,3,2,5,1,4,3,2,2,4,3,2,5,half-circle
0,0,4,3,3,1,3,5,3,2,6,1,1,9,3,4,4,3,6,0,4,5,5,6,4,1,6,6,5,6,6,4,1,2,7,6,5,1,1,3,2,1,4,3,4,6,2,2,5,3,4,3,3,3,3,2,5,3,2,2,2,3,1,1,3,2,1,7,1,7,1,4,2,3,1,4,1,4,1,3,1,5,1,2,1,3,2,4,0,1,1,2,2,4,0,1,1,2,2,3,1,1,1,2,1,6,0,1,0,1,3,1,0,0,1,1,2,1,5,9,half-circle
